IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,EUR,Europe,Country,DEU,Germany,Year,2016,true,Road User Type,Drivers/passengers of motorized 2- or 3-wheelers,ROADUSERTYPE_RS-DDC-2OR3WHEELS,,,,,,,,,,18.8,,,,,,18.8,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2016,true,Road User Type,Drivers/passengers of 4-wheeled vehicles,ROADUSERTYPE_RS-DDC-4WHEELS,,,,,,,,,,18.8,,,,,,18.8,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2016,true,Road User Type,Drivers/passengers of motorized 2- or 3-wheelers,ROADUSERTYPE_RS-DDC-2OR3WHEELS,,,,,,,,,,19.1,,,,,,19.1,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,EUR,Europe,Country,SVN,Slovenia,Year,2016,true,Road User Type,Drivers/passengers of motorized 2- or 3-wheelers,ROADUSERTYPE_RS-DDC-2OR3WHEELS,,,,,,,,,,19.2,,,,,,19.2,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2016,true,Road User Type,Drivers/passengers of motorized 2- or 3-wheelers,ROADUSERTYPE_RS-DDC-2OR3WHEELS,,,,,,,,,,19.3,,,,,,19.3,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2016,true,Road User Type,Drivers/passengers of 4-wheeled vehicles,ROADUSERTYPE_RS-DDC-4WHEELS,,,,,,,,,,19.4,,,,,,19.4,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2016,true,Road User Type,Drivers/passengers of motorized 2- or 3-wheelers,ROADUSERTYPE_RS-DDC-2OR3WHEELS,,,,,,,,,,19.7,,,,,,19.7,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,AMR,Americas,Country,BLZ,Belize,Year,2016,true,Road User Type,Drivers/passengers of motorized 2- or 3-wheelers,ROADUSERTYPE_RS-DDC-2OR3WHEELS,,,,,,,,,,19.8,,,,,,19.8,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2016,true,Road User Type,Pedestrians,ROADUSERTYPE_RS-DDC-PEDESTRIANS,,,,,,,,,,19.8,,,,,,19.8,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,AFR,Africa,Country,BWA,Botswana,Year,2016,true,Road User Type,Cyclists,ROADUSERTYPE_RS-DDC-CYCLISTS,,,,,,,,,,2,,,,,,2.0,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2016,true,Road User Type,Cyclists,ROADUSERTYPE_RS-DDC-CYCLISTS,,,,,,,,,,2,,,,,,2.0,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2016,true,Road User Type,Cyclists,ROADUSERTYPE_RS-DDC-CYCLISTS,,,,,,,,,,2,,,,,,2.0,,,EN,2020-04-22T18:30:00.000Z
RS_246,Distribution of road traffic deaths by type of road user (%),numeric,EUR,Europe,Country,IRL,Ireland,Year,2016,true,Road User Type,Other/unspecified road users,ROADUSERTYPE_RS-DDC-OTHER,,,,,,,,,,2.1,,,,,,2.1,,,EN,2020-04-22T18:30:00.000Z
